uri	pub	pub_copy	urlwd	idwd	mplace
http://lkg.org.pl/ns/lkg-core/F11_C625	Głos Szczeciński	Głos Szczeciński	https://www.wikidata.org/wiki/Q9284213	Q9284213	Szczecin, Poland
http://lkg.org.pl/ns/lkg-core/F11_C626	Głos Słupski	Głos Słupski	https://www.wikidata.org/wiki/Q9284180	Q9284180	Słupsk, Poland
http://lkg.org.pl/ns/lkg-core/F11_C627	Głos Wielkopolski	Głos Wielkopolski	https://www.wikidata.org/wiki/Q11703203	Q11703203	Poznan, Poland
http://lkg.org.pl/ns/lkg-core/F11_C628	Głos Wybrzeża	Głos Wybrzeża	https://www.wikidata.org/wiki/Q9284216	Q9284216	Gdansk, Poland
http://lkg.org.pl/ns/lkg-core/F11_C629	Głos znad Niemna	Głos znad Niemna	https://www.wikidata.org/wiki/Q3920735	Q3920735	Hrodna, Belarus
http://lkg.org.pl/ns/lkg-core/F11_C630	Hannoversche Allgemeine Zeitung	Hannoversche Allgemeine Zeitung	https://www.wikidata.org/wiki/Q1576266	Q1576266	Hanover, Germany
http://lkg.org.pl/ns/lkg-core/F11_C93	Harper	Harper	https://www.wikidata.org/wiki/Q3127696	Q3127696	New York, United States
http://lkg.org.pl/ns/lkg-core/F11_C95	Harrassowitz Verlag	Harrassowitz Publishing House	https://www.wikidata.org/wiki/Q2904802	Q2904802	Wiesbaden, Germany
http://lkg.org.pl/ns/lkg-core/F11_C631	Helikon	Helikon Kiadó	https://www.wikidata.org/wiki/Q1161952	Q1161952	Budapest, Hungary
http://lkg.org.pl/ns/lkg-core/F11_C96	Helion	Helion	https://www.wikidata.org/wiki/Q2506077	Q2506077	Gliwice, Poland
http://lkg.org.pl/ns/lkg-core/F11_C632	Helsingin Sanomat	Helsingin Sanomat	https://www.wikidata.org/wiki/Q366921	Q366921	Helsinki, Finland
http://lkg.org.pl/ns/lkg-core/F11_C100	Heyne Science Fiction	Heyne Science-fiction & Fantasy	https://www.wikidata.org/wiki/Q97171763	Q97171763	Munich, Germany
http://lkg.org.pl/ns/lkg-core/F11_C101	Hirnkost	Hirnkost KG	https://www.wikidata.org/wiki/Q116182250	Q116182250	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C635	Horisont	Horisont	https://www.wikidata.org/wiki/Q16409956	Q16409956	Tallinn, Estonia
http://lkg.org.pl/ns/lkg-core/F11_C636	Host	Host	https://www.wikidata.org/wiki/Q30258618	Q30258618	Brno, Czechia
http://lkg.org.pl/ns/lkg-core/F11_C104	Impedimenta	Editorial Impedimenta	https://www.wikidata.org/wiki/Q28911437	Q28911437	Madrid, Spain
http://lkg.org.pl/ns/lkg-core/F11_C643	Impulse	Impulse	https://www.wikidata.org/wiki/Q1660429	Q1660429	Hamburg, Germany
